numero_de_dossier;annee_budgetaire;collectivite;nom_beneficiaire;numero_siret;objet_du_dossier;montant_vote;direction;nature_de_la_subvention;secteurs_d_activites_definies_par_l_association
2024_10644;2024;v;ASSOCIATION DES CHATS DU BOIS DE VINCENNES ET ALENTOURS;89454146500023;protection des Chats libres à Paris;5000;DEVE;Fonctionnement;
2024_10849;2024;v;ASSOCIATION DES SOURCES DE LA SEINE;50051353600010;Passage de la flamme olympique sur le site des Sources de la Seine;2000;DTEC;Projet;
2024_02916;2024;v;ATTAQUE SIMPLE RIPOSTE ASR;48393442800028;Aide au fonctionnement;1000;DJS;Fonctionnement;
2024_02818;2024;v;CQFD BESSIERES COMITE DE QUARTIER EN FAVEUR DU DEVELOPPEMENT SECTEUR BESSIERES;44351245400010;Animations intergénérationnelles dans le quartier;2000;DDCT;Projet;
2024_12369;2024;v;ESPACE 19;32228389600056;Paris Collège Familles 2024-2025;3500;DFPE;Fonctionnement;
2024_02264;2024;v;LA PETITE ROCKETTE;50882247500028;2024 - VVV - Randonnée à vélo en baie de Somme;1500;DPMP;Projet;
2025_00422;2024;v;M.U;44849529100057;Subvention complémentaire  - projet 2024_08130 (L'Air de Repos 2024);5000;DSOL;Fonctionnement;
2024_11941;2024;v;PARCOURS D'INSERTION FLES DE PARIS;45057704400024;Objectif CACES;27000;DAE;Fonctionnement;
2024_06192;2024;v;THEATRE SUR PAROLES;84199942800011;TR.I.P - Troupe Itinérante Pluridisciplinaire - 5e édition;4000;DAC;Projet;
2024_06465;2024;v;WHITE RABBIT;80431481300028;Fonctionnement général annuel de l'association;2000;DEVE;Fonctionnement;
2024_03417;2024;v;ARES ATELIER;41193562000038;DPH 24 DAE;82000;DAE;Fonctionnement;
2024_08499;2024;v;ASSOCIATION ALLONGÉ;90476889200021;SV24RES2 - LE CULTE DU FREEZE;7000;DAC;Projet;
2024_09367;2024;v;ASSOCIATION BOKAWA;88189115400026;Construction participative cuisine mobile - BOKAWA;5000;DDCT;Investissement;
2024_06639;2024;v;ASSOCIATION D'ASSISTANCE SCOLAIRE LINGUISTIQUE ET CULTURELLE ASLC;41000945000017;Ateliers sociolinguistiques - Favoriser l'intégration, l'autonomie et la prise de confiance en soi;1500;DDCT;Indéterminée;
2024_08576;2024;v;ATELIER DES FEUILLANTINES;40500152000023;Zellige - (composer de la musique à partir de la géométrie de zelliges créés par des collégiens);5000;DASCO;Projet;
2024_00637;2024;v;CARNETS DU PASSAGE;84532191800011;Mes mots, tes mots - Atelier d'écriture;2000;DDCT;Projet;
2024_09773;2024;v;CENTRE COROT ENTRAIDE D'AUTEUIL;34226673100013;Projet Accueil Jeunes;135000;DSOL;Indéterminée;
2024_02801;2024;v;CERCLE D'ETUDE DE LA DEPORTATION ET DE LA SHOAH;48805672200025;Réalisation des projets pour 2024;2000;DAC;Fonctionnement;
2024_10752;2024;v;CLIMATES;79040523700021;Ateliers éducation changement climatique association CliMates;1000;DPE;Projet;
2024_08678;2024;v;COURANT D'ART FRAIS;42432213900033;CPO-Atelier parents-enfants de fabrication de marionnettes géantes;3000;DFPE;Projet;
2024_06470;2024;v;ETUDES ET CHANTIERS ILE DE FRANCE;44066204700057;Atelier Chantier d'Insertion de la Petite Ceinture 13ème-14ème (2024);82500;DEVE;Fonctionnement;
2024_12497;2024;v;FOYER JORBALAN;49137130800025;Permettre aux femmes victimes de TEHS en démarche d¿insertion d¿atteindre l¿autonomie numérique.;7600;DSOL;Investissement;
2024_00767;2024;v;HUSTLE PARIS - HP;84428652600026;MON TOURNOI BASKET 3X3 HUSTLE N'FLOW;4000;DDCT;Projet;
2024_01214;2024;v;JS EUROPEENNE CHAMPERRET JEUNESSE SPORTIVE EUROPEENNE CHAMPERRET;53523201100010;Fête le Mur Paris 17 Favoriser l¿inclusion sociale des habitants de Porte Pouchet Porte de Saint-Oue;3000;DDCT;Projet;
2024_07642;2024;v;LA SIRENE DE PARIS;78457908800013;Olympiade culturelle - Le Pavillon de la Sirène entre musique et sport;5000;DAC;Projet;
2024_01147;2024;v;LE LABORATOIRE DE LA RIDE;92018856200010;Ca glisse sous le périphérique;3000;DDCT;Projet;
2024_09082;2024;v;LE PICOULET - MISSION POPULAIRE XIE;32582665900022;Complément de financement poste Adulte-Relais 07518R00190100;3825;DDCT;Fonctionnement;
2024_01109;2024;v;LES PETITS DEBROUILLARDS ILE DE FRANCE;42994326900051;Des sciences avec les Petits Débrouillards IDF aux Portes du 20ème - 2024;3000;DDCT;Projet;
