Programme;SIREN;NIC;Dénomination;Montant;Objet 2020;Convention 2020;Date de création de l'établissement;Etat administratif;Siège;Répertoire national des associations;Catégorie juridique;COG : code;COG : libellé;Activité;Nomenclature de l'activité;Economie sociale et solidaire
101;301294831;88;APSIS EMERGENCE;          1 190,00;intervention au profit de  bénéficiaire(s) de l'aide juridictionnelle;;22/06/2010;Non déterminé;Non;;9220;57672;Thionville;88.99A;NAFRev2;O
101;301294831;88;APSIS EMERGENCE;         31 800,00;actions de médiation familiale et gestion d'un espace  de rencontre parent(s)-enfant(s);;22/06/2010;Non déterminé;Non;;9220;57672;Thionville;88.99A;NAFRev2;O
101;301295234;50;FAMILLES EN GIRONDE;          7 684,00;intervention au profit de  bénéficiaire(s) de l'aide juridictionnelle;;01/03/2002;Non déterminé;Non;W332014198;9220;33063;Bordeaux;88.99B;NAFRev2;O
101;301295234;50;FAMILLES EN GIRONDE;         31 000,00;prestations de médiation familiale;;01/03/2002;Non déterminé;Non;W332014198;9220;33063;Bordeaux;88.99B;NAFRev2;O
101;301311858;31;LE M A R S;        312 800,00;aide apportée à des victimes d'infraction pénale;;01/01/1984;Non déterminé;Non;W513002967;9220;51454;Reims;86.10Z;NAFRev2;O
101;301311858;49;LE M A R S;         14 600,00;aide apportée à des victimes d'infraction pénale;;28/03/2018;Non déterminé;Non;W513002967;9220;51454;Reims;88.99B;NAFRev2;O
101;301626545;26;MAISON DE LA FAMILLE;         10 000,00;prestations de médiation familiale;;01/01/1900;Non déterminé;Non;W923004275;9220;92064;Saint-Cloud;88.99B;NAFRev2;O
101;301792271;35;CENTRE D INFORMATION FEMININ ET FAM;         91 604,00;aide apportée à des victimes d'infraction pénale;;13/03/2019;Non déterminé;Non;;9220;57463;Metz;94.99Z;NAFRev2;O
101;302294517;57;UNION DEPART ASSOCIATIONS FAMILIALE;          2 400,00;intervention au profit de  bénéficiaire(s) de l'aide juridictionnelle;;01/11/1994;Non déterminé;Non;;9220;45234;Orléans;94.99Z;NAFRev2;O
101;304095037;61;UNION DEPART ASS FAMIL VAL OISE;         12 000,00;prestations de médiation familiale;;20/10/2009;Non déterminé;Non;W953001392;9220;95127;Cergy;86.10Z;NAFRev2;O
101;304318488;42;D ENTRAIDE ET DE RECLASSEMENT SOCIA;         11 082,00;aide apportée à des victimes d'infraction pénale;;01/01/2013;Non déterminé;Non;W343007270;9220;34172;Montpellier;87.90B;NAFRev2;O
101;304707979;31;ASSOCIATION POUR LA REINSERTION SOC;         16 000,00;gestion d'un espace de rencontre;;01/02/1980;Non déterminé;Non;W953000307;9220;95572;Saint-Ouen-l'Aumône;87.90B;NAFRev2;O
101;304890627;25;CAISSE REGLEMENTS PECUNIAIRES;      4 480 114,00;dotation de barreau(x) pour la rétribution des avocats intervenant au titre de l'aide juridique;;01/01/2001;Non déterminé;Non;;9220;63113;Clermont-Ferrand;94.99Z;NAFRev2;O
101;305242893;124;ASSOC DEP PUPILLES ENSEIGNEMENT PUB;         23 000,00;gestion d'un espace de rencontre;;13/07/2016;Non déterminé;Non;W091000118;9220;9225;Pamiers;88.99A;NAFRev2;O
101;305833691;28;CENTRE D  INFORMATION SUR LES DROIT;         10 117,00;prestations de médiation familiale;;01/01/2004;Non déterminé;Non;;9260;67482;Strasbourg;88.99B;NAFRev2;O
101;305915878;48;CAIS REGL PECUN AVOCATS COUR APPEL;      4 302 624,00;dotation de barreau(x) pour la rétribution des avocats intervenant au titre de l'aide juridique;;01/02/1997;Non déterminé;Non;;9220;13001;Aix-en-Provence;94.99Z;NAFRev2;O
101;305935751;27;CAISSE AUTONOME REGL PECUNIAIRE AVO;      1 471 000,00;dotation de barreau(x) pour la rétribution des avocats intervenant au titre de l'aide juridique;;02/11/2011;Non déterminé;Non;;9220;24322;Périgueux;94.11Z;NAFRev2;N
101;306562448;28;CAISSE REGLEM  PECUNIA  AVOCATS GRA;      2 599 804,00;dotation de barreau(x) pour la rétribution des avocats intervenant au titre de l'aide juridique;;01/04/2003;Non déterminé;Non;W061006996;9220;6069;Grasse;94.99Z;NAFRev2;O
